"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed Capacity"
"14W-WGM-KW-----J","GDK-Mellach","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","838.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-WGM2-M1----X","GDK-Mellach Linie 20","COMMISSIONED","B04","intra_zonal","417.00"
"14W-WGM-KW-----J","GDK-Mellach","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","838.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-WGM1-M1----5","GDK-Mellach Linie 10","COMMISSIONED","B04","intra_zonal","421.00"
"14W-BOW-KW-----9","Ottensheim-Wilhering","01.10.2018","Infinity","COMMISSIONED","B11","intra_zonal","179.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-BOW-TU-----P","Ottensheim-Wilhering","COMMISSIONED","B11","intra_zonal","179.00"
"14WLSG-MITTE---U","FHKW Linz Mitte","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","216.80","10YAT-APG------L","10YAT-APG------L","","110.00","","","","","",""
"14W-KW-THE-EVN-7","Kraftwerk Theiß","07.10.2019","Infinity","COMMISSIONED","B04","intra_zonal","485.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-THE-M2--7","KW Theiß M2","DECOMMISSIONED","B04","intra_zonal","130.00"
"14W-KW-THE-EVN-7","Kraftwerk Theiß","07.10.2019","Infinity","COMMISSIONED","B04","intra_zonal","485.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-THE-KO--3","Theiß Kombi","DECOMMISSIONED","B04","intra_zonal","485.00"
"14W-KW-THE-EVN-7","Kraftwerk Theiß","07.10.2019","Infinity","COMMISSIONED","B04","intra_zonal","485.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-THE--M5-O","KW Theiß M5","COMMISSIONED","B04","intra_zonal","225.00"
"14W-KW-THE-EVN-7","Kraftwerk Theiß","07.10.2019","Infinity","COMMISSIONED","B04","intra_zonal","485.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-THE--M3-U","KW Theiß M3","COMMISSIONED","B04","intra_zonal","260.00"
"14W-KW-DU2-EVN-K","Kraftwerk Dürnrohr","01.09.2020","Infinity","DECOMMISSIONED","B05","intra_zonal","378.40","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-DUE-EVN-A","KW Dürnrohr Block 2","DECOMMISSIONED","B05","intra_zonal","332.00"
"14WLSG-1SUED---5","FHKW Linz Süd","01.10.2018","Infinity","COMMISSIONED","B04","intra_zonal","158.00","10YAT-APG------L","10YAT-APG------L","","110.00","","","","","",""
"14W-E110349----M","Kraftwerk Oschenik","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","114.00","10YAT-APG------L","10YAT-APG------L","","110.00","","","","","",""
"14W-KW-KO2-EVN-5","Kraftwerk Korneuburg","07.10.2019","Infinity","DECOMMISSIONED","B04","intra_zonal","152.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-KOR--M2-4","KW Korneuburg M2","DECOMMISSIONED","B04","intra_zonal","101.20"
"14W-KW-KO2-EVN-5","Kraftwerk Korneuburg","07.10.2019","Infinity","DECOMMISSIONED","B04","intra_zonal","152.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-KW-KOR-EVN-F","KW Korneuburg Block EVN","DECOMMISSIONED","B04","intra_zonal","150.00"
"14W-BAW-KW-----F","Altenwörth","01.10.2018","Infinity","COMMISSIONED","B11","intra_zonal","328.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-BAW-TU-----V","Altenwörth","COMMISSIONED","B11","intra_zonal","328.00"
